time,money,total_asset,market_value,profit,profit_ratio
2015-03-04,15.949899999977788,1397793.7999,1397777.85,397793.7999,0.39779379989999997
2015-03-05,15.949899999977788,1378222.8499,1378206.9000000001,378222.84990000003,0.37822284990000005
2015-03-06,15.949899999977788,1384403.1498999998,1384387.2,384403.14989999984,0.38440314989999985
2015-03-09,15.949899999977788,1457536.6999,1457520.75,457536.6998999999,0.4575366998999999
2015-03-10,15.949899999977788,1418394.7998999998,1418378.8499999999,418394.79989999975,0.4183947998999997
2015-03-11,15.949899999977788,1427665.2499,1427649.3,427665.24989999994,0.42766524989999993
2015-03-12,15.949899999977788,1503888.9499,1503873.0,503888.9498999999,0.5038889498999999
2015-03-13,15.949899999977788,1544060.8998999998,1544044.95,544060.8998999998,0.5440608998999998
2015-03-16,15.949899999977788,1587322.9999,1587307.05,587322.9998999999,0.5873229998999999
2015-03-17,15.949899999977788,1586292.9499,1586277.0,586292.9498999999,0.5862929498999999
2015-03-18,15.949899999977788,1597623.4999,1597607.55,597623.4998999999,0.5976234999
2015-03-19,15.949899999977788,1564661.8998999998,1564645.95,564661.8998999998,0.5646618998999998
2015-03-20,15.949899999977788,1578052.5499,1578036.6,578052.5499,0.5780525499
2015-03-23,15.949899999977788,1589383.0998999998,1589367.15,589383.0998999998,0.5893830998999998
2015-03-24,15.949899999977788,1581142.6999,1581126.75,581142.6998999999,0.5811426998999999
2015-03-25,15.949899999977788,1535820.4999,1535804.55,535820.4998999999,0.5358204998999999
2015-03-26,15.949899999977788,1556421.4999,1556405.55,556421.4998999999,0.5564214998999999
2015-03-27,15.949899999977788,1553331.3498999998,1553315.4,553331.3498999998,0.5533313498999998
2015-03-30,15.949899999977788,1613074.2499,1613058.3,613074.2498999999,0.6130742498999999
2015-03-31,15.949899999977788,1622344.6999,1622328.75,622344.6998999999,0.6223446998999999
2015-04-01,15.949899999977788,1643975.7499,1643959.8,643975.7498999999,0.6439757499
2015-04-02,15.949899999977788,1627494.9499,1627479.0,627494.9498999999,0.6274949498999999
2015-04-03,15.949899999977788,1632645.1999,1632629.25,632645.1998999999,0.6326451998999999
2015-04-07,15.949899999977788,1731529.9998999997,1731514.0499999998,731529.9998999997,0.7315299998999997
2015-04-08,15.949899999977788,1845865.5499,1845849.6,845865.5499,0.8458655499
2015-04-09,15.949899999977788,1854105.9499,1854090.0,854105.9498999999,0.8541059498999999
2015-04-10,15.949899999977788,2039514.9499,2039499.0,1039514.9498999999,1.0395149498999998
2015-04-13,17938.819899999977,2062382.0599,2044443.24,1062382.0599,1.0623820599
2015-04-14,17938.819899999977,2032716.6199,2014777.8,1032716.6199,1.0327166199
2015-04-15,17938.819899999977,2075978.7199,2058039.9,1075978.7199,1.0759787199
2015-04-16,17938.819899999977,2119240.8199,2101302.0,1119240.8199,1.1192408199
2015-04-17,17938.819899999977,2110588.3999,2092649.58,1110588.3999,1.1105883999000001
2015-04-20,17938.819899999977,2032716.6199,2014777.8,1032716.6199,1.0327166199
2015-04-21,17938.819899999977,2064854.1798999999,2046915.3599999999,1064854.1798999999,1.0648541799
2015-04-22,17938.819899999977,2113060.5198999997,2095121.7,1113060.5198999997,1.1130605198999997
2015-04-23,17938.819899999977,2077214.7799,2059275.96,1077214.7799,1.0772147799
2015-04-24,17938.819899999977,2012939.6599,1995000.84,1012939.6599000001,1.0129396599
2015-04-27,17938.819899999977,2047549.3399000003,2029610.5200000003,1047549.3399000003,1.0475493399000002
2015-04-28,17938.819899999977,2082159.0199,2064220.2,1082159.0199,1.0821590199
